Rk,Athlete,Gender,Age,Sport,Gold,Silver,Bronze,Total
1,Charles Hamelin,Male,25,Short Track Speed Skating,2,,,2
2,Francois-Louis Tremblay,Male,29,Short Track Speed Skating,1,,1,2
3,Marianne St-Gelais,Female,19,Short Track Speed Skating,,2,,2
4,Kristina Groves,Female,33,Speed Skating,,1,1,2
5,Meghan Agosta,Female,23,Ice Hockey,1,,,1
6,Jasey-Jay Anderson,Male,34,Snowboarding,1,,,1
7,Gillian Apps,Female,26,Ice Hockey,1,,,1
8,Guillaume Bastille,Male,24,Short Track Speed Skating,1,,,1
9,Patrice Bergeron-Cleary,Male,24,Ice Hockey,1,,,1
10,Alexandre Bilodeau,Male,22,Freestyle Skiing,1,,,1
11,Tessa Bonhomme,Female,24,Ice Hockey,1,,,1
12,Jennifer Botterill,Female,30,Ice Hockey,1,,,1
13,Dan Boyle,Male,33,Ice Hockey,1,,,1
14,Martin Brodeur,Male,37,Ice Hockey,1,,,1
15,Sidney Crosby,Male,22,Ice Hockey,1,,,1
16,Drew Doughty,Male,20,Ice Hockey,1,,,1
17,Adam Enright,Male,26,Curling,1,,,1
18,Ryan Getzlaf,Male,24,Ice Hockey,1,,,1
19,Mathieu Giroux,Male,24,Speed Skating,1,,,1
20,Francois Hamelin,Male,23,Short Track Speed Skating,1,,,1
21,Dany Heatley,Male,29,Ice Hockey,1,,,1
22,Ben Hebert,Male,26,Curling,1,,,1
23,Jayna Hefford,Female,32,Ice Hockey,1,,,1
24,Kaillie Humphries,Female,24,Bobsleigh,1,,,1
25,Jarome Iginla,Male,32,Ice Hockey,1,,,1
26,Haley Irwin,Female,21,Ice Hockey,1,,,1
27,Olivier Jean,Male,25,Short Track Speed Skating,1,,,1
28,Rebecca Johnston,Female,20,Ice Hockey,1,,,1
29,Duncan Keith,Male,26,Ice Hockey,1,,,1
30,Becky Kellar,Female,35,Ice Hockey,1,,,1
31,Marc Kennedy,Male,28,Curling,1,,,1
32,Gina Kingsbury,Female,28,Ice Hockey,1,,,1
33,Charlie Labonte,Female,27,Ice Hockey,1,,,1
34,Roberto Luongo,Male,30,Ice Hockey,1,,,1
35,Carla MacLeod,Female,27,Ice Hockey,1,,,1
36,Lucas Makowsky,Male,22,Speed Skating,1,,,1
37,Patrick Marleau,Male,30,Ice Hockey,1,,,1
38,Kevin Martin,Male,43,Curling,1,,,1
39,Ashleigh McIvor,Female,26,Freestyle Skiing,1,,,1
40,Meaghan Mikkelson,Female,25,Ice Hockey,1,,,1
41,Scott Moir,Male,22,Figure Skating,1,,,1
42,Jon Montgomery,Male,30,Skeleton,1,,,1
43,John Morris,Male,31,Curling,1,,,1
44,Denny Morrison,Male,24,Speed Skating,1,,,1
45,Brenden Morrow,Male,31,Ice Hockey,1,,,1
46,Heather Moyse,Female,31,Bobsleigh,1,,,1
47,Rick Nash,Male,25,Ice Hockey,1,,,1
48,Christine Nesbitt,Female,24,Speed Skating,1,,,1
49,Scott Niedermayer,Male,36,Ice Hockey,1,,,1
50,Caroline Ouellette,Female,30,Ice Hockey,1,,,1
51,Corey Perry,Male,24,Ice Hockey,1,,,1
52,Cherie Piper,Female,28,Ice Hockey,1,,,1
53,Marie-Philip Poulin,Female,18,Ice Hockey,1,,,1
54,Chris Pronger,Male,35,Ice Hockey,1,,,1
55,Mike Richards,Male,25,Ice Hockey,1,,,1
56,Maelle Ricker,Female,31,Snowboarding,1,,,1
57,Brent Seabrook,Male,24,Ice Hockey,1,,,1
58,Colleen Sostorics,Female,30,Ice Hockey,1,,,1
59,Kim St-Pierre,Female,31,Ice Hockey,1,,,1
60,Eric Staal,Male,25,Ice Hockey,1,,,1
61,Shannon Szabados,Female,23,Ice Hockey,1,,,1
62,Joe Thornton,Male,30,Ice Hockey,1,,,1
63,Jonathan Toews,Male,21,Ice Hockey,1,,,1
64,Sarah Vaillancourt,Female,24,Ice Hockey,1,,,1
65,Tessa Virtue,Female,20,Figure Skating,1,,,1
66,Catherine Ward,Female,22,Ice Hockey,1,,,1
67,Shea Weber,Male,24,Ice Hockey,1,,,1
68,Hayley Wickenheiser,Female,31,Ice Hockey,1,,,1
69,Cori Bartel,Female,38,Curling,,1,,1
70,Cheryl Bernard,Female,43,Curling,,1,,1
71,Shelly-Ann Brown,Female,29,Bobsleigh,,1,,1
72,Carolyn Darbyshire-McRory,Female,46,Curling,,1,,1
73,Jessica Gregg,Female,21,Short Track Speed Skating,,1,,1
74,Jennifer Heil,Female,26,Freestyle Skiing,,1,,1
75,Kristie Moore,Female,30,Curling,,1,,1
76,Susan O'Connor,Female,32,Curling,,1,,1
