Rk,Athlete,Gender,Age,Sport,Gold,Silver,Bronze,Total
1,Bode Miller,Male,32,Alpine Skiing,1,1,1,3
2,Johnny Spillane,Male,29,Nordic Combined,,3,,3
3,Apolo Anton Ohno,Male,27,Short Track Speed Skating,,1,2,3
4,Shani Davis,Male,27,Speed Skating,1,1,,2
5,Bill Demong,Male,29,Nordic Combined,1,1,,2
6,Lindsey Kildow-Vonn,Female,25,Alpine Skiing,1,,1,2
7,Julia Mancuso,Female,25,Alpine Skiing,,2,,2
8,Chad Hedrick,Male,32,Speed Skating,,1,1,2
9,Katherine Reutter,Female,21,Short Track Speed Skating,,1,1,2
10,J. R. Celski,Male,19,Short Track Speed Skating,,,2,2
11,Steve Holcomb,Male,29,Bobsleigh,1,,,1
12,Hannah Kearney,Female,23,Freestyle Skiing,1,,,1
13,Evan Lysacek,Male,24,Figure Skating,1,,,1
14,Steve Mesler,Male,31,Bobsleigh,1,,,1
15,Justin Olsen,Male,22,Bobsleigh,1,,,1
16,Curt Tomasevicz,Male,29,Bobsleigh,1,,,1
17,Seth Wescott,Male,33,Snowboarding,1,,,1
18,Shaun White,Male,23,Snowboarding,1,,,1
19,David Backes,Male,25,Ice Hockey,,1,,1
20,Kacey Bellamy,Female,22,Ice Hockey,,1,,1
21,Dustin Brown,Male,25,Ice Hockey,,1,,1
22,Caitlin Cahow,Female,24,Ice Hockey,,1,,1
23,Ryan Callahan,Male,24,Ice Hockey,,1,,1
24,Brett Camerota,Male,25,Nordic Combined,,1,,1
25,Lisa Chesson,Female,23,Ice Hockey,,1,,1
26,Julie Chu,Female,27,Ice Hockey,,1,,1
27,Natalie Darwitz,Female,26,Ice Hockey,,1,,1
28,Meryl Davis,Female,23,Figure Skating,,1,,1
29,Chris Drury,Male,33,Ice Hockey,,1,,1
30,Meghan Duggan,Female,22,Ice Hockey,,1,,1
31,Molly Engstrom,Female,26,Ice Hockey,,1,,1
32,Tim Gleason,Male,27,Ice Hockey,,1,,1
33,Brian Hansen,Male,19,Speed Skating,,1,,1
34,Erik Johnson,Male,21,Ice Hockey,,1,,1
35,Jack Johnson,Male,23,Ice Hockey,,1,,1
36,Patrick Kane,Male,21,Ice Hockey,,1,,1
37,Ryan Kesler,Male,25,Ice Hockey,,1,,1
38,Phil Kessel,Male,22,Ice Hockey,,1,,1
39,Hilary Knight,Female,20,Ice Hockey,,1,,1
40,Jonathan Kuck,Male,19,Speed Skating,,1,,1
41,Jocelyne Lamoureux,Female,20,Ice Hockey,,1,,1
42,Monique Lamoureux,Female,20,Ice Hockey,,1,,1
43,Jamie Langenbrunner,Male,34,Ice Hockey,,1,,1
44,Erika Lawler,Female,23,Ice Hockey,,1,,1
45,Todd Lodwick,Male,33,Nordic Combined,,1,,1
46,Ryan Malone,Male,30,Ice Hockey,,1,,1
47,Trevor Marsicano,Male,20,Speed Skating,,1,,1
48,Gigi Marvin,Female,22,Ice Hockey,,1,,1
49,Brianne McLaughlin,Female,22,Ice Hockey,,1,,1
50,Ryan Miller,Male,29,Ice Hockey,,1,,1
51,Brooks Orpik,Male,29,Ice Hockey,,1,,1
52,Zach Parise,Male,25,Ice Hockey,,1,,1
53,Joe Pavelski,Male,25,Ice Hockey,,1,,1
54,Jeret Peterson,Male,28,Freestyle Skiing,,1,,1
55,Brian Rafalski,Male,36,Ice Hockey,,1,,1
56,Angela Ruggiero,Female,30,Ice Hockey,,1,,1
57,Bobby Ryan,Male,22,Ice Hockey,,1,,1
58,Molly Schaus,Female,21,Ice Hockey,,1,,1
59,Jenny Schmidgall-Potter,Female,31,Ice Hockey,,1,,1
60,Kelli Stack,Female,22,Ice Hockey,,1,,1
61,Paul Stastny,Male,24,Ice Hockey,,1,,1
62,Ryan Suter,Male,25,Ice Hockey,,1,,1
63,Hannah Teter,Female,23,Snowboarding,,1,,1
64,Karen Thatcher,Female,25,Ice Hockey,,1,,1
65,Tim Thomas,Male,35,Ice Hockey,,1,,1
66,Jessie Vetter,Female,24,Ice Hockey,,1,,1
67,Kerry Weiland,Female,29,Ice Hockey,,1,,1
68,Charlie White,Male,22,Figure Skating,,1,,1
69,Ryan Whitney,Male,26,Ice Hockey,,1,,1
70,Jinelle Zaugg-Siergiej,Female,23,Ice Hockey,,1,,1
71,Shannon Bahrke,Female,29,Freestyle Skiing,,,1,1
72,Allison Baver,Female,29,Short Track Speed Skating,,,1,1
73,Simon Cho,Male,18,Short Track Speed Skating,,,1,1
74,Kelly Clark,Female,26,Snowboarding,,,1,1
75,Kimberly Derrick,Female,24,Short Track Speed Skating,,,1,1
76,Alyson Dudek,Female,19,Short Track Speed Skating,,,1,1
77,Lana Gehring,Female,19,Short Track Speed Skating,,,1,1
78,Travis Jayner,Male,27,Short Track Speed Skating,,,1,1
79,Scotty Lago,Male,22,Snowboarding,,,1,1
80,Jordan Malone,Male,25,Short Track Speed Skating,,,1,1
